ID,年份,,start,end
D006500,1657,,,
D002078,1662,,,
D001488,1667,,,
D010320,1667,,,
D007820,,,,
D006150,1671,,,
D004382,,,,
D002040,1671,,,
D011467,,,,
D013653,,,,
D007622,1674,,,
D011469,,,,
D011470,1675,,,
D002796,,,,
D004383,1676,,,
D008446,1676,,,
D004396,1664,1677,,
D005073,1677,,,
D008809,1677,,,
D004381,1667,1677,,
D002265,,,,
D011472,1679,,,
D001788,,,,
D011473,,,,
D011475,1680,,,
D007426,,,,
D011476,1681,,,
D011477,1680,,,
D007121,1683,,,
D011478,1684,,,
D012521,1684,,,
D004386,1684,,,
D002291,1685,,,
D011468,,,,
D011479,,,,
D007821,1685,,,
D002708,1685,,,
D011480,,,,
D004384,1676,,,
D011481,1687,,,
D004387,1687,,,
D001974,,,,
D015117,1689,,,
D012523,1690,,,
D011482,1690,,,
D012524,1690,,,
D004388,1691,,,
D004389,1696,,,
D009166,1691,,,
D008753,,,,
D014393,,,,
D011518,1693,,,
D011483,,,,
D005509,,,,
D011485,1693,,,
D012657,1693,,,
D011486,1692,,,
D002143,1694,,,
D012525,,,,
D012375,,,,
D012522,1687,1695,,
D013208,1695,,,
D014613,1695,,,
D011487,,,,
D004390,,,,
D006906,1690,1702,,
D002081,1697,,,
D011488,,,,
D012526,,,,
D002264,,,,
D011489,,,,
D009535,,,,
D007822,,,,
D009167,,,,
D002587,,,,
D005063,1698,,,
D001789,,,,
D012754,,,,
D011490,1699,,,
D001508,,,,
D012528,1699,,,
D011491,,,,
D002387,1699,,,
D004391,,,,
D011253,,,,
D011492,1699,,,
D008556,,,,
D004392,,,,
D011493,1700,,,
D011495,,,,
D011498,,,,
D011496,,,,
D011497,1700,,,
D011499,,,,
D009536,1701,,,
D002287,,,,
D011500,,,,
D004393,1701,,,
D010281,,,,
D011501,,,,
D011502,,,,
D014497,1702,,,
D004394,1702,,,
D002436,,,,
D005955,1702,,,
D001350,1703,,,
D005870,,,,
D002212,1703,,,
D012529,,,,
D012530,,,,
D012376,,,,
D014498,,,,
D011504,,,,
D005065,,,,
D002290,1705,,,
D011505,,,,
D001471,,,,
D005072,1706,,,
D011507,,,,
D001846,,,,
D011508,,,,
D001845,1707,,,
D008070,1711,,,
D003055,,,,
D003056,,,,
D001253,,,,
D001364,1683,,,
D014499,,,,
D001394,,,,
D001410,,,,
D001507,,,,
D001484,,,,
D001430,1695,,,
D001454,1696,,,
D001452,1697,,,
D001468,,,,
D001509,,,,
D001481,1697,,,
D001439,1702,seals,,
D001458,,,,
D001510,,,,
D001601,,,,
D001602,,,,
D001672,,,,
D001730,,,,
D001848,,,,
D001806,,,,
D006504,,,,
D006501,,,,
D006503,,,,
D006505,,,,
D004405,,,,
D004428,,,,
D004398,,,,
D004419,,,,
D005077,,,,
D004412,,,,
D004404,,,,
D005082,,,,
D005083,,,,
D004427,,,,
D005079,,,,
D005080,,,,
D004401,,,,
D005066,,,,
D004425,1690,,,
D005061,,,,
D004406,,,,
D004426,,,,
D004415,,,,
D004421,,,,
D005067,,,,
D004423,,,,
D004424,,,,
D005084,,,,
D005085,,,,
D004432,,,,
D004420,1702,,,
D004407,,,,
D004409,1700,1701,,
D004414,,,,
D004400,,,,
D004418,,,,
D004397,,,,
D004399,,,,
D004402,,,,
D004417,1681,,,
D005064,,,,
D005081,,,,
D004416,,,,
D004403,,,,
D005062,,,,
D004422,1704,1707,,
D004413,,,,
D004411,,,,
D005076,,,,
D007123,,,,
D007122,,,,
D007124,,,,
D007068,1700,,,
D007125,1696,,,
D006907,,,,
D006737,,,,
D007624,,,,
D009709,,,,
D013909,,,,
D002064,,,,
D002101,1695,1696,,
D009168,,,,
D007823,1700,,,
D002149,,,,
D008075,1685,,,
D008071,1698,,,
D008073,,,,
D008074,1705,,,
D008076,,,,
D002288,,,,
D002286,,"not the year made, but collected",,
D002324,,,,
D002281,,,,
D002280,,"not the year made, but collected",,
D002279,,,,
D002289,,"not the year made, but collected",,
D005396,,,,
D005395,,,,
D005394,,,,
D002386,1670,,,
D002389,,,,
D002388,,,,
D012531,,,,
D015013,,,,
D015014,,,,
D012527,,,,
D011510,,,,
D011531,,,,
D011511,,,,
D011542,,,,
D011537,,,,
D011527,,,,
D011552,,,,
D011524,,,,
D011512,,,,
D011515,,,,
D011545,,,,
D011540,1691,,,
D011484,1681,1692,,
D011520,,,,
D011539,1695,1696,,
D011521,,,,
D011263,1697,,,
D011526,,,,
D012172,,,,
D011553,,,,
D011555,,,,
D011519,,,,
D011541,,,,
D011546,,,,
D011543,,,,
D011522,,,,
D011523,,,,
D011517,,,,
D011544,,,,
D011533,,,,
D012160,,,,
D011534,,,,
D011559,,,,
D011516,1705,,,
D011550,,,,
D011529,,,,
D012173,,,,
D011530,,,,
D011551,,,,
D011548,,,,
D011561,,,,
D011514,,,,
D011525,,,,
D011532,,,,
D011536,,,,
D011513,,,,
D011547,,,,
D002483,,,,
D009539,,,,
D009537,,,,
D009538,,,,
D009540,,,,
D009677,1696,1680-1687,,
D009676,,,,
D013210,,,,
D013209,,,,
D013214,,,,
D013211,,,,
D013213,,,,
D012756,,,,
D013212,1707,,,
D012755,,,,
D014052,,,,
D002588,,,,
D007427,,,,
D007428,,,,
D008754,,,,
D002711,,,,
D002707,,,,
D002710,,,,
D002709,,,,
D002761,,,,
D002735,,,,
D008832,1705,,,
D005872,,,,
D005873,,,,
D005871,,,,
D005956,,,,
